application,configured_copies,repetition,min,avg,max,p50,p90,p95,p99,rx_tx_ratio,copies
xdp-clone,0,1,5.0,8.0,8.0,nan,nan,nan,nan,1,0
xdp-clone,0,2,5.0,8.0,8.0,400.0,2000.0,2000.0,2000.0,1,0
xdp-clone,0,3,4.0,10.0,9.0,10.0,700.0,2000.0,3000.0,1,0
xdp-clone,0,4,4.0,8.0,12.0,11.0,11.8,11.9,11.98,1,0
xdp-clone,0,5,4.0,8.0,8.0,10.0,10.0,10.0,10.0,1,0
xdp-clone,1,1,4.0,8.0,9.0,200.0,2000.0,2000.0,2000.0,1,0
xdp-clone,1,2,4.0,8.0,9.0,10.0,10.0,10.0,10.0,1,0
xdp-clone,1,3,4.0,8.0,9.0,10.0,10.0,10.0,10.0,1,0
xdp-clone,1,4,4.0,8.0,9.0,700.0,1000.0,1000.0,1000.0,1,0
xdp-clone,1,5,4.0,8.0,9.0,1000.0,3000.0,3000.0,3000.0,1,0
xdp-clone,2,1,4.0,8.0,9.0,nan,nan,nan,nan,1,0
xdp-clone,2,2,4.0,8.0,9.0,200.0,1000.0,1000.0,1000.0,1,0
xdp-clone,2,3,4.0,10.0,11.0,10.513698630136986,10.924657534246576,10.976027397260275,1000.0,1,0
xdp-clone,2,4,4.0,8.0,9.0,nan,nan,nan,nan,1,0
xdp-clone,2,5,4.0,8.0,9.0,nan,nan,nan,nan,1,0
xdp-clone,4,1,4.0,42.0,52.0,41.91065900044228,50.48602150537634,51.249155145929336,51.85966205837173,1,0
xdp-clone,4,2,4.0,41.0,52.0,41.85922974767596,50.45598755832037,51.22799377916019,51.845598755832036,1,0
