application,configured_copies,probe_id,phase,repetition,requested_tx_mpps,tx_cap_mpps,measured_tx_mpps,measured_rx_mpps,expected_rx_mpps,delivered_input_equiv_mpps,fanout_multiplier,delivery_ratio,success
xdp-clone,0,1,search,0,0.25,30.0,0.2517255,0.2517255,0.2517255,0.2517255,1.0,1.0,True
xdp-clone,0,2,search,0,0.5,30.0,0.50212175,0.50212175,0.50212175,0.50212175,1.0,1.0,True
xdp-clone,0,3,search,0,1.0,30.0,1.0024085,1.0024005,1.0024085,1.0024005,1.0,0.9999920192217046,True
xdp-clone,0,4,search,0,2.0,30.0,2.005411,2.00541875,2.005411,2.00541875,1.0,1.0000038645444749,True
xdp-clone,0,5,search,0,4.0,30.0,4.01109025,4.011102,4.01109025,4.011102,1.0,1.0000029293781163,True
xdp-clone,0,6,search,0,8.0,30.0,8.03015725,8.02974475,8.03015725,8.02974475,1.0,0.9999486311429332,True
xdp-clone,0,7,search,0,16.0,30.0,16.0475535,9.951408,16.0475535,9.951408,1.0,0.6201199453860679,False
xdp-clone,0,8,search,0,12.0,30.0,12.03625825,9.988752,12.03625825,9.988752,1.0,0.8298884746843979,False
xdp-clone,0,9,search,0,10.0,30.0,10.02841825,9.92646375,10.02841825,9.92646375,1.0,0.9898334415798823,False
xdp-clone,0,10,search,0,9.0,30.0,9.03256475,9.0326075,9.03256475,9.0326075,1.0,1.000004732875012,True
xdp-clone,0,11,search,0,9.5,30.0,9.529419,9.52675975,9.529419,9.52675975,1.0,0.999720943113111,True
xdp-clone,0,12,search,0,9.75,30.0,9.7796345,9.7137425,9.7796345,9.7137425,1.0,0.9932623248854546,True
xdp-clone,0,13,search,0,9.875,30.0,9.9051505,9.893062,9.9051505,9.893062,1.0,0.9987795743234796,True
xdp-clone,0,14,search,0,9.9375,30.0,9.972239,9.96382375,9.972239,9.96382375,1.0,0.9991561323389863,True
xdp-clone,0,15,search,0,9.96875,30.0,10.001144,9.90997825,10.001144,9.90997825,1.0,0.9908844678168818,True
xdp-clone,0,16,confirm,1,9.96875,30.0,10.00145775,9.729344,10.00145775,9.729344,1.0,0.9727925911600236,False
xdp-clone,0,17,confirm,2,9.96875,30.0,9.9998455,9.94997075,9.9998455,9.94997075,1.0,0.9950124479423208,True
xdp-clone,0,18,confirm,3,9.96875,30.0,10.01527325,9.8924325,10.01527325,9.8924325,1.0,0.9877346581632208,False
xdp-clone,1,1,search,0,0.25,15.0,0.250652,0.250655,0.501304,0.1253275,2.0,0.5000059843927039,False
xdp-clone,1,2,search,0,0.125,15.0,0.1254165,0.1254155,0.250833,0.06270775,2.0,0.4999960132837387,False
xdp-clone,1,3,search,0,0.0625,15.0,0.06272325,0.062724,0.1254465,0.031362,2.0,0.5000059786442826,False
xdp-clone,1,4,search,0,0.03125,15.0,0.03134075,0.03134125,0.0626815,0.015670625,2.0,0.5000079768352704,False
xdp-clone,1,5,search,0,0.015625,15.0,0.0155335,0.0155335,0.031067,0.00776675,2.0,0.5,False
xdp-clone,2,1,search,0,0.25,10.0,0.25078575,0.2507925,0.75235725,0.08359749999999999,3.0,0.33334230513496077,False
xdp-clone,2,2,search,0,0.125,10.0,0.1253505,0.125352,0.3760515,0.041783999999999995,3.0,0.33333732214869505,False
xdp-clone,2,3,search,0,0.0625,10.0,0.06283275,0.0628325,0.18849825000000003,0.020944166666666666,3.0,0.33333200706107347,False
xdp-clone,2,4,search,0,0.03125,10.0,0.0313325,0.0313325,0.0939975,0.010444166666666666,3.0,0.3333333333333333,False
xdp-clone,2,5,search,0,0.015625,10.0,0.0155385,0.01553875,0.046615500000000004,0.005179583333333334,3.0,0.33333869635636215,False
xdp-clone,4,1,search,0,0.25,6.0,0.25082525,0.25083425,1.25412625,0.05016685,5.0,0.20000717631099738,False
xdp-clone,4,2,search,0,0.125,6.0,0.1253375,0.12533675,0.6266875,0.02506735,5.0,0.19999880323127556,False
xdp-clone,4,3,search,0,0.0625,6.0,0.06273375,0.06273275,0.31366875000000005,0.01254655,5.0,0.19999681192340643,False
xdp-clone,4,4,search,0,0.03125,6.0,0.03134575,0.0313445,0.15672875,0.006268899999999999,5.0,0.19999202443712463,False
xdp-clone,4,5,search,0,0.015625,6.0,0.015546,0.01554625,0.07773000000000001,0.00310925,5.0,0.2000032162614177,False
