scope,application,configured_copies,tx_cap_mpps,ndr_tx_mpps,ndr_rx_mpps,ndr_input_equiv_mpps,fanout_multiplier,confirm_tx_mpps_mean,confirm_tx_mpps_stddev,confirm_rx_mpps_mean,confirm_rx_mpps_stddev,confirm_input_equiv_mpps_mean,confirm_input_equiv_mpps_stddev,confirm_delivery_ratio_mean,confirm_delivery_ratio_stddev,success_threshold
per_copies,xdp-clone,0,30.0,3.91839225,3.90586225,3.90586225,1.0,3.9188886666666662,0.00011413707037303964,3.897550916666667,0.013837707144640521,3.897550916666667,0.013837707144640521,0.9945551926721065,0.00354768491580549,0.99
per_copies,xdp-clone,1,15.0,2.026762,4.05013525,2.025067625,2.0,2.022562833333333,0.0002073578328236231,4.032172666666667,0.013891177686605029,2.0160863333333334,0.0069455888433025146,0.9967978802073736,0.0034352019860865207,0.99
per_copies,xdp-clone,2,10.0,1.52085675,4.55233775,1.5174459166666667,3.0,1.5208393333333332,4.8711095587552733e-05,4.529097166666666,0.025442320595237187,1.5096990555555554,0.00848077353174571,0.9926748374974194,0.005555708936081283,0.99
per_copies,xdp-clone,4,6.0,0.97205775,4.857287,0.9714574,5.0,0.9720354166666666,0.0001163551495781035,4.826706166666667,0.027550857217078364,0.9653412333333332,0.0055101714434156734,0.9931129081280211,0.005581598393960424,0.99
per_copies,xdp-clone,8,3.3333333333333335,0.564386,5.0793665,0.5643740555555555,9.0,0.5643297500000001,5.11670059706842e-05,5.073153666666666,0.005827883413670228,0.5636837407407408,0.0006475426015189161,0.9988552075614323,0.0010690760627535204,0.99
per_copies,xdp-clone,16,1.7647058823529411,0.313576,5.33070075,0.3135706323529412,17.0,0.31361375,3.897114317029865e-06,5.331486916666667,0.0001713011480790972,0.3136168774509804,1.007653812228731e-05,1.0000099722215614,2.524003536607982e-05,0.99
per_copies,xdp-clone,32,0.9090909090909091,0.1567705,5.17336175,0.15676853787878786,33.0,0.15676516666666665,1.2413030787575952e-05,5.1731869999999995,0.0005002816706616283,0.15676324242424242,1.5160050626106232e-05,0.9999877244500794,2.1812162336002737e-05,0.99
per_copies,xdp-clone,64,0.46153846153846156,0.0783795,5.0946525,0.07837926923076922,65.0,0.07841641666666667,6.060132699317274e-05,5.097123333333333,0.003923556441015624,0.07841728205128205,6.036240678485608e-05,1.0000110374416031,1.8568330311207777e-05,0.99
per_copies,xdp-clone,128,0.23255813953488372,,,,129.0,,,,,,,,,0.99
per_copies,tc-clone,0,30.0,2.14802725,2.1462605,2.1462605,1.0,2.1478568333333334,0.00011670912917734633,2.14481375,0.0036510588104687078,2.14481375,0.0036510588104687078,0.998583195775954,0.001695181537896505,0.99
per_copies,tc-clone,1,15.0,1.09750325,2.191736,1.095868,2.0,1.09792625,0.0006341621933701105,2.18588975,0.00777690727410335,1.092944875,0.003888453637051675,0.9954634192574439,0.00370129170417922,0.99
per_copies,tc-clone,2,10.0,0.7996975,2.38622475,0.7954082499999999,3.0,0.8001870833333333,0.0005818752192982065,2.3829255833333334,0.006016646783785054,0.7943085277777778,0.0020055489279283516,0.9926526743779939,0.0017984401786098145,0.99
per_copies,tc-clone,4,6.0,0.5173835,2.57425825,0.51485165,5.0,0.5173655833333334,4.206270121301611e-05,2.5702654166666665,0.012681710610987464,0.5140530833333333,0.002536342122197493,0.9935976253154489,0.004978352949888256,0.99
per_copies,tc-clone,8,3.3333333333333335,0.282222,2.53993625,0.2822151388888889,9.0,0.2821179166666667,0.00013197190357547788,2.5391031666666666,0.0012395269342912374,0.2821225740740741,0.00013772521492124096,1.0000165024374958,2.4959239082115185e-05,0.99
per_copies,tc-clone,16,1.7647058823529411,0.10973275,1.86539725,0.10972925,17.0,0.10972866666666665,4.209092340794013e-05,1.865417,0.0007408383342538504,0.10973041176470588,4.3578725544345824e-05,1.0000159005107598,2.909824544766144e-05,0.99
per_copies,tc-clone,32,0.9090909090909091,0.04710475,1.554366,0.047102,33.0,0.0470735,1.6454482671906348e-05,1.5533753333333333,0.0005020524333506893,0.0470719797979798,1.521371010153794e-05,0.9999677119523604,2.8147278243717715e-05,0.99
per_copies,tc-clone,64,0.46153846153846156,0.015564,1.01165525,0.015563926923076923,65.0,0.015562916666666668,4.7258156262527464e-06,1.0115841666666665,0.000298015135242015,0.015562833333333333,4.584848234492372e-06,0.9999946472253892,9.271277587268868e-06,0.99
per_copies,tc-clone,128,0.23255813953488372,0.0143585,1.8522465,0.0143585,129.0,0.014348333333333333,7.723071496064886e-06,1.8509157499999997,0.0010023831602735214,0.014348184108527132,7.770412095143734e-06,0.9999895986884398,9.192164909754891e-06,0.99
per_application,xdp-clone,0,30.0,3.91839225,3.90586225,3.90586225,1.0,3.9188886666666662,0.00011413707037303964,3.897550916666667,0.013837707144640521,3.897550916666667,0.013837707144640521,0.9945551926721065,0.00354768491580549,0.99
per_application,tc-clone,0,30.0,2.14802725,2.1462605,2.1462605,1.0,2.1478568333333334,0.00011670912917734633,2.14481375,0.0036510588104687078,2.14481375,0.0036510588104687078,0.998583195775954,0.001695181537896505,0.99
