application,configured_copies,probe_id,requested_tx_mpps,tx_cap_mpps,measured_tx_mpps,measured_rx_mpps,expected_rx_mpps,delivered_input_equiv_mpps,fanout_multiplier,delivery_ratio,success
xdp-clone,0,1,0.25,30.0,0.254628,0.2546315,0.254628,0.2546315,1.0,1.0000137455425169,True
xdp-clone,0,2,0.5,30.0,0.50154625,0.501546,0.50154625,0.501546,1.0,0.9999995015414831,True
xdp-clone,0,3,1.0,30.0,1.0030675,1.0030685,1.0030675,1.0030685,1.0,1.0000009969418806,True
xdp-clone,0,4,2.0,30.0,2.00623,2.00623875,2.00623,2.00623875,1.0,1.000004361414195,True
xdp-clone,0,5,4.0,30.0,4.00957175,4.00953075,4.00957175,4.00953075,1.0,0.9999897744690563,True
xdp-clone,0,6,8.0,30.0,8.01924375,8.0190845,8.01924375,8.0190845,1.0,0.9999801415189556,True
xdp-clone,0,7,16.0,30.0,16.04982875,9.534176,16.04982875,9.534176,1.0,0.5940359955554043,False
xdp-clone,0,8,12.0,30.0,12.03581,9.458144,12.03581,9.458144,1.0,0.7858336082075075,False
xdp-clone,0,9,10.0,30.0,10.023736,9.465935,10.023736,9.465935,1.0,0.944351986125732,False
xdp-clone,0,10,9.0,30.0,9.02624825,9.02625075,9.02624825,9.02625075,1.0,1.0000002769700025,True
xdp-clone,0,11,9.5,30.0,9.573512,9.43115225,9.573512,9.43115225,1.0,0.9851298300978785,False
xdp-clone,0,12,9.25,30.0,9.27919725,9.22675425,9.27919725,9.22675425,1.0,0.994348325767081,True
xdp-clone,0,13,9.375,30.0,9.404354,9.37238425,9.404354,9.37238425,1.0,0.9966005373681169,True
xdp-clone,0,14,9.4375,30.0,9.4671385,9.39679325,9.4671385,9.39679325,1.0,0.9925695340783278,True
xdp-clone,0,15,9.46875,30.0,9.49981575,9.43634075,9.49981575,9.43634075,1.0,0.9933182914626528,True
xdp-clone,1,1,0.25,15.0,0.250849,0.5017025,0.501698,0.25085125,2.0,1.0000089695394443,True
xdp-clone,1,2,0.5,15.0,0.50160225,1.003222,1.0032045,0.501611,2.0,1.0000174441003804,True
xdp-clone,1,3,1.0,15.0,1.003033,2.006058,2.006066,1.003029,2.0,0.9999960120953147,True
xdp-clone,1,4,2.0,15.0,2.006556,4.013129,4.013112,2.0065645,2.0,1.0000042361140185,True
xdp-clone,1,5,4.0,15.0,4.0129105,8.0258655,8.025821,4.01293275,2.0,1.0000055446040972,True
xdp-clone,1,6,8.0,15.0,8.025881,11.0624635,16.051762,5.53123175,2.0,0.6891744034081742,False
xdp-clone,1,7,6.0,15.0,6.0190665,11.21431425,12.038133,5.607157125,2.0,0.9315659039487268,False
xdp-clone,1,8,5.0,15.0,5.018212,10.036369,10.036424,5.0181845,2.0,0.9999945199604959,True
xdp-clone,1,9,5.5,15.0,5.5190355,10.9325565,11.038071,5.46627825,2.0,0.9904408569214675,True
xdp-clone,1,10,5.75,15.0,5.7686965,11.2729185,11.537393,5.63645925,2.0,0.9770767538212488,False
xdp-clone,1,11,5.625,15.0,5.6393635,11.2564695,11.278727,5.62823475,2.0,0.9980265946679975,True
xdp-clone,1,12,5.6875,15.0,5.701515,11.177312,11.40303,5.588656,2.0,0.9802054366251778,False
xdp-clone,1,13,5.65625,15.0,5.6740975,10.942739,11.348195,5.4713695,2.0,0.9642713224437894,False
xdp-clone,1,14,5.640625,15.0,5.65955975,11.203808,11.3191195,5.601904,2.0,0.9898126793342893,False
xdp-clone,2,1,0.25,10.0,0.25090925,0.7527435,0.7527277499999999,0.2509145,3.0,1.0000209238997766,True
xdp-clone,2,2,0.5,10.0,0.5017275,1.50518175,1.5051825,0.50172725,3.0,0.9999995017215519,True
xdp-clone,2,3,1.0,10.0,1.00346825,3.01040475,3.01040475,1.00346825,3.0,1.0,True
xdp-clone,2,4,2.0,10.0,2.0051675,6.01548625,6.0155025,2.0051620833333335,3.0,0.9999972986462894,True
xdp-clone,2,5,4.0,10.0,4.00986475,11.9564735,12.02959425,3.9854911666666664,3.0,0.9939215946539509,True
