application,configured_copies,probe_id,phase,repetition,requested_tx_mpps,tx_cap_mpps,rate_capped,measured_tx_mpps,measured_rx_mpps,expected_rx_mpps,delivered_input_equiv_mpps,fanout_multiplier,delivery_ratio,success
xdp-clone,0,1,search,0,0.25,30.0,False,0.25079475,0.25080025,0.25079475,0.25080025,1.0,1.0000219302836284,True
xdp-clone,0,2,search,0,0.5,30.0,False,0.5014265,0.501427,0.5014265,0.501427,1.0,1.0000009971551165,True
xdp-clone,0,3,search,0,1.0,30.0,False,1.003042,1.003031,1.003042,1.003031,1.0,0.9999890333605174,True
xdp-clone,0,4,search,0,2.0,30.0,False,2.01104775,2.011039,2.01104775,2.011039,1.0,0.9999956490341912,True
xdp-clone,0,5,search,0,4.0,30.0,False,4.0118075,4.01178475,4.0118075,4.01178475,1.0,0.9999943292393767,True
xdp-clone,0,6,search,0,8.0,30.0,False,8.02444125,6.69036775,8.02444125,6.69036775,1.0,0.833748736088011,False
xdp-clone,0,7,search,0,6.0,30.0,False,6.01773325,6.01769025,6.01773325,6.01769025,1.0,0.9999928544522974,True
xdp-clone,0,8,search,0,7.0,30.0,False,7.021596,6.680446,7.021596,6.680446,1.0,0.9514141799100946,False
xdp-clone,0,9,search,0,6.5,30.0,False,6.52081425,6.52083025,6.52081425,6.52083025,1.0,1.0000024536813021,True
xdp-clone,0,10,search,0,6.75,30.0,False,6.77059225,6.681924,6.77059225,6.681924,1.0,0.9869039152372527,False
xdp-clone,0,11,search,0,6.625,30.0,False,6.64083,6.62841825,6.64083,6.62841825,1.0,0.9981309941678976,True
xdp-clone,0,12,search,0,6.6875,30.0,False,6.70362625,6.665279,6.70362625,6.665279,1.0,0.9942796258965063,True
xdp-clone,0,13,search,0,6.71875,30.0,False,6.73428325,6.70911775,6.73428325,6.70911775,1.0,0.9962630766978802,True
xdp-clone,0,14,search,0,6.734375,30.0,False,6.75105475,6.65565875,6.75105475,6.65565875,1.0,0.9858694672858341,False
xdp-clone,0,15,confirm,1,6.71875,30.0,False,6.74053425,6.6567295,6.74053425,6.6567295,1.0,0.9875670463361269,False
xdp-clone,0,16,confirm,2,6.71875,30.0,False,6.735428,6.67703975,6.735428,6.67703975,1.0,0.9913311744999723,True
xdp-clone,0,17,confirm,3,6.71875,30.0,False,6.73868,6.68779375,6.73868,6.68779375,1.0,0.9924486323731058,True
xdp-clone,1,1,search,0,0.25,15.0,False,0.2507015,0.5014075,0.501403,0.25070375,2.0,1.0000089748166643,True
xdp-clone,1,2,search,0,0.5,15.0,False,0.50126675,1.002538,1.0025335,0.501269,2.0,1.0000044886280608,True
xdp-clone,1,3,search,0,1.0,15.0,False,1.0025715,2.005157,2.005143,1.0025785,2.0,1.0000069820456696,True
xdp-clone,1,4,search,0,2.0,15.0,False,2.0068275,4.013685,4.013655,2.0068425,2.0,1.0000074744839802,True
xdp-clone,1,5,search,0,4.0,15.0,False,4.013254,8.02654575,8.026508,4.013272875,2.0,1.0000047031660593,True
xdp-clone,1,6,search,0,8.0,15.0,False,8.02140325,9.188256,16.0428065,4.594128,2.0,0.5727337046669484,False
xdp-clone,1,7,search,0,6.0,15.0,False,6.01356325,9.3191885,12.0271265,4.65959425,2.0,0.7748474666829188,False
xdp-clone,1,8,search,0,5.0,15.0,False,5.01629875,9.3317535,10.0325975,4.66587675,2.0,0.93014331532786,False
